,rentals,MoM,YoY
,Manhattan,,
,All Upper West Side,,
,All,,
2013-12,3093.7315681757,-0.003544177585765085,0.04192643354448666
2014-01,3099.2844942736,0.0017948958969231654,0.041443987497897794
2014-02,3097.9212311987,-0.0004398638064427862,0.03448757875641095
2014-03,3105.4453668932,0.002428769207792003,0.03150662323113318
2014-04,3124.347547981,0.006086785904950709,0.03404022414829222
2014-05,3151.9566384339,0.008836753923468388,0.036227675595721376
2014-06,3162.3002438114,0.003281645835914615,0.03167077298859833
2014-07,3173.3256899795,0.003486527311781007,0.029217347285163564
2014-08,3180.9537674008,0.0024038116999423043,0.02763213681656196
2014-09,3179.3882255113,-0.0004921611579346008,0.024004234234717536
2014-10,3182.0996634557,0.000852817508300463,0.02651493057316867
2014-11,3170.9560381543,-0.00350197243328898,0.02132894765063198
2014-12,3169.826627273,-0.0003561736169502838,0.02459652927877376
2015-01,3183.148197253,0.004202617854674351,0.027059052866670097
2015-02,3185.5229899249,0.0007460515579982285,0.0282775939697808
2015-03,3211.8693325442,0.008270649027688037,0.03427011364797261
2015-04,3232.4486463062,0.006407269920192693,0.03459957532415259
2015-05,3259.0549591104,0.008231008661066852,0.03397836105058638
2015-06,3275.7438160346,0.0051207657230658565,0.03587375121802827
2015-07,3291.0864921486,0.004683722835375104,0.03710958586474633
2015-08,3289.4942860739,-0.00048379344587212714,0.03412200447093894
2015-09,3289.984285217,0.000148958806578392,0.034785327195427485
2015-10,3283.7068772282,-0.0019080358581061718,0.03193087097157621
2015-11,3268.6381804559,-0.004588928712485951,0.03080526539196593
2015-12,3264.8379391801,-0.0011626374857036659,0.029973661994516787
2016-01,3258.9027635081,-0.0018179082032752092,0.023798630023093237
2016-02,3270.023555464,0.0034124344182422384,0.026526434060076376
2016-03,3276.3751025548,0.001942355149150865,0.020083559862475342
2016-04,3298.5232136892,0.006759943669798263,0.020441026173302124
2016-05,3310.0237696078,0.0034865772267029804,0.01563913807434303
2016-06,3321.9700465032,0.0036091211806661416,0.014111674497353954
2016-07,3324.4980927284,0.0007610081336708596,0.010152149042423675
2016-08,3314.4457190433,-0.0030237267114358035,0.007585188116918662
2016-09,3313.1753685822,-0.0003832768941730569,0.007048995178914774
2016-10,3291.2420157507,-0.006620039808181377,0.002294704979532325
2016-11,3269.044853196,-0.0067443118580986505,0.00012441656667028234
2016-12,3254.6210591156,-0.004412234988546704,-0.0031293682120913102
2017-01,3233.2430806669,-0.006568500006728706,-0.007873718457797274
2017-02,3241.9310051475,0.002687061957249437,-0.008590932095751791
2017-03,3248.1772390695,0.0019267016824486838,-0.00860642099963227
2017-04,3253.3573051074,0.001594760894077174,-0.013692766627913078
2017-05,3272.6476044981,0.0059293516148430925,-0.011291811694188802
2017-06,3289.8762085363,0.005264423830576792,-0.009661085897111898
2017-07,3293.7531419423,0.0011784435523563008,-0.009247997721324563
2017-08,3301.244960441,0.0022745537312132136,-0.003982795230724312
2017-09,3293.9853140695,-0.002199063219631592,-0.005792043093967636
2017-10,3271.6391528021,-0.00678392862650401,-0.005956068516015489
2017-11,3246.8973218978,-0.007562518281733266,-0.006774924264666304
2017-12,3236.919988432,-0.0030728823478680667,-0.00543875012239059
2018-01,3232.5077686813,-0.0013630920030363036,-0.00022742242610729324
2018-02,3255.3907369383,0.0070790141569667675,0.004151763800472219
2018-03,3259.1990112972,0.001169836331991636,0.0033932176160611505
2018-04,3278.4114993905,0.005894849632288368,0.0077010275642850345
2018-05,3309.4599208757,0.009470568746776431,0.011248481604619887
2018-06,3327.9251149911,0.005579518881290602,0.011565452327985337
