,sales,MoM,YoY
,Manhattan,,
,All Upper West Side,,
,All,,
2004-03,655866.1052848295,0.02100937811667447,0.10100716714145674
2004-04,660812.8185248973,0.0075422608367901045,0.12026266208109515
2004-05,693077.4564430659,0.048825684087350885,0.15550383060012307
2004-06,715054.4742396774,0.03170932424984585,0.16587065950222235
2004-07,741835.3652635089,0.03745293818671325,0.23546856919128434
2004-08,765009.2389132195,0.031238566850313232,0.31231215793284806
2004-09,774415.5370912816,0.012295666116953985,0.30823091109909395
2004-10,783933.1314378671,0.012290035376012254,0.31024701963619616
2004-11,807920.2776632404,0.030598459566796077,0.3497153302632896
2004-12,796792.1003643709,-0.013773855671819213,0.30646812242451027
2005-01,797827.1130157672,0.001298974539184039,0.273164977320721
2005-02,803959.5907508684,0.0076864744692877185,0.25155161269845094
2005-03,821754.0996090077,0.022133586143950224,0.25292966504517933
2005-04,826680.1607995074,0.005994568439443793,0.251005031417018
2005-05,839890.291095843,0.015979735480236457,0.2118274563513194
2005-06,872865.9149274345,0.0392618228608963,0.22069848714052043
2005-07,886222.8266656402,0.015302363753447956,0.1946354516960016
2005-08,905014.2868786083,0.021203990291775554,0.18301092437037947
2005-09,922537.9301965564,0.019362836114319437,0.19126991390387782
2005-10,920836.7735008593,-0.0018439964797269948,0.17463688747519512
2005-11,918562.7547899078,-0.0024695133561033478,0.13694727089494552
2005-12,909417.6394754245,-0.00995589606349212,0.1413487145009975
2006-01,897687.709538434,-0.01289828724210429,0.1251657093291756
2006-02,893410.8129745848,-0.004764347911199951,0.11126333120819187
2006-03,890671.4760222628,-0.0030661560309543923,0.0838661790017794
2006-04,900642.360519314,0.011194794899664906,0.0894689424363051
2006-05,901475.4276751084,0.00092496999065661,0.07332521548607573
2006-06,911985.0518112323,0.011658248038139085,0.04481689136303357
2006-07,913967.3827227752,0.0021736440828781234,0.031306523847419054
2006-08,916772.1381772975,0.0030687697477416176,0.012991895784587149
2006-09,915409.7090602871,-0.0014861153172904817,-0.007726751283549382
2006-10,915485.3003421284,8.257644756559657e-05,-0.005811532850046319
2006-11,907571.1668067566,-0.00864474124534187,-0.011966071915973986
2006-12,925185.5909247241,0.01940831172495594,0.017338515072563343
2007-01,905262.724820058,-0.02153391308737662,0.008438363588066489
2007-02,891093.4039999967,-0.01565216420777482,-0.00259388955330897
2007-03,901074.3888408152,0.011200828999536006,0.011679854018691316
2007-04,914837.6671200178,0.01527429749380449,0.015761313505750163
2007-05,929917.3942495398,0.016483500484839153,0.031550462387846645
2007-06,944587.5807109466,0.015775795304104223,0.0357489728970497
2007-07,961786.2241290855,0.018207568857928846,0.05232007433772368
2007-08,978718.3269296099,0.017604850616213197,0.06756988587750068
2007-09,987702.6116067283,0.009179642834832302,0.07897327484176819
2007-10,983816.2674329157,-0.003934731090252441,0.07463906527527109
2007-11,970932.6513004197,-0.013095551028154295,0.06981434273258946
2007-12,949694.2973967205,-0.021874178271019673,0.026490583848695515
2008-01,968142.9895003259,0.019425927010593202,0.06946079072544031
2008-02,972080.4941690742,0.00406706933939649,0.09088507423075676
2008-03,977896.385435467,0.005982931764682897,0.08525599833492037
2008-04,967752.6252388094,-0.010373041917053905,0.0578408170330067
2008-05,988822.4346158534,0.021771895862173096,0.0633443795444335
2008-06,1005671.1975718644,0.017039219951109352,0.06466697012355693
